Record_ID,Department,AI_Tool,Month,Employees_Using,Monthly_Cost_USD,Hours_Saved_Per_Week,Tasks_Automated,Value_Generated_USD,ROI_Percent
1,Marketing,ChatGPT,2026-08,19,494.38,3.0,31,1697.26,243.31
2,Marketing,Jasper AI,2026-03,4,65.36,4.1,134,208.28,218.67
3,HR,Notion AI,2026-07,46,1818.03,4.1,155,3850.64,111.8
4,Sales,GitHub Copilot,2025-11,46,1564.81,4.9,60,6820.7,335.88
5,Customer Support,ChatGPT,2025-10,26,503.16,12.9,159,1043.01,107.29
6,Sales,Notion AI,2026-04,36,742.22,13.9,25,2242.79,202.17
7,Customer Support,Jasper AI,2025-12,47,852.11,10.3,79,3792.94,345.12
8,HR,GitHub Copilot,2025-10,26,715.23,9.9,98,1242.18,73.68
9,Customer Support,Microsoft Copilot,2026-07,19,885.06,10.6,23,2841.16,221.01
10,IT,Jasper AI,2026-08,17,380.0,6.3,168,1318.96,247.09
11,HR,Notion AI,2026-02,5,126.54,1.4,85,319.37,152.39
12,Marketing,Microsoft Copilot,2026-06,47,1370.54,10.2,106,5645.88,311.95
13,R&D,Microsoft Copilot,2026-01,10,260.98,8.9,72,956.53,266.51
14,Operations,Jasper AI,2026-03,25,621.74,15.0,135,1758.66,182.86
15,Sales,GitHub Copilot,2025-10,11,475.59,12.1,113,1506.74,216.81
16,Operations,Midjourney,2026-06,31,1203.11,14.6,7,4144.64,244.49
17,Marketing,Notion AI,2026-05,50,1350.36,10.0,33,2928.32,116.85
18,IT,Midjourney,2025-09,48,2611.84,4.7,133,9701.62,271.45
19,Marketing,GitHub Copilot,2026-07,21,1110.38,8.1,55,1892.5,70.44
20,IT,Jasper AI,2026-05,2,83.91,7.8,33,357.96,326.6
21,Finance,Microsoft Copilot,2025-09,17,926.68,14.3,26,3350.22,261.53
22,Marketing,GitHub Copilot,2026-05,10,207.78,7.7,145,362.56,74.49
23,Operations,Microsoft Copilot,2026-05,50,2392.34,3.8,84,6020.74,151.67
24,Customer Support,Midjourney,2026-05,30,613.36,4.1,91,778.61,26.94
25,HR,Jasper AI,2025-12,2,36.39,9.8,63,51.76,42.24
26,Sales,GitHub Copilot,2026-02,6,228.82,4.9,129,436.36,90.7
27,IT,Notion AI,2026-06,38,1378.27,12.0,109,2519.96,82.84
28,Marketing,Notion AI,2026-03,24,817.46,7.5,191,1127.09,37.88
29,Marketing,ChatGPT,2026-03,48,1452.89,13.1,68,2662.05,83.22
30,R&D,Microsoft Copilot,2026-03,13,357.95,4.5,24,952.98,166.23
31,Marketing,ChatGPT,2026-07,36,1894.36,14.6,197,7578.76,300.07
32,IT,Midjourney,2026-04,32,787.8,6.6,20,1373.37,74.33
33,Sales,Midjourney,2026-01,31,862.92,10.8,192,3870.11,348.49
34,R&D,Microsoft Copilot,2025-12,20,495.93,1.8,193,1482.46,198.93
35,Customer Support,ChatGPT,2025-09,39,1421.76,13.9,140,2444.76,71.95
36,Marketing,GitHub Copilot,2025-11,6,250.66,10.5,65,634.79,153.25
37,HR,Jasper AI,2026-06,4,171.49,6.9,154,525.66,206.53
38,Customer Support,Claude,2025-12,44,2078.06,4.3,106,3391.18,63.19
39,Finance,Midjourney,2026-02,50,2855.4,1.1,164,12834.74,349.49
40,Marketing,ChatGPT,2026-05,15,566.47,2.9,94,2326.41,310.69
41,HR,Claude,2026-01,12,416.62,8.6,82,1340.91,221.85
42,Sales,Notion AI,2026-05,21,1195.51,2.5,39,2477.98,107.27
43,Marketing,Notion AI,2026-05,11,299.81,9.5,188,699.01,133.15
44,Finance,Jasper AI,2026-04,18,1003.32,12.8,28,3304.07,229.31
45,Finance,ChatGPT,2025-09,23,1143.11,9.9,72,1981.26,73.32
46,R&D,Jasper AI,2026-08,29,1166.98,2.6,181,4881.44,318.3
47,Sales,GitHub Copilot,2026-02,39,1554.68,7.0,15,3447.12,121.73
48,Sales,Claude,2025-12,45,1180.3,2.4,148,4860.06,311.76
49,Operations,Jasper AI,2026-08,11,623.25,4.3,46,2755.69,342.15
50,IT,Midjourney,2025-09,13,625.89,5.7,110,2408.03,284.74
51,HR,Claude,2025-11,46,913.76,13.2,125,1767.24,93.4
52,R&D,Claude,2026-01,16,400.5,10.2,107,914.45,128.33
53,Marketing,GitHub Copilot,2026-01,24,1052.8,6.6,142,2413.85,129.28
54,Sales,ChatGPT,2026-01,13,534.64,14.8,14,832.82,55.77
55,Operations,Claude,2026-08,22,762.03,14.8,34,1883.09,147.11
56,HR,Claude,2025-09,47,1627.26,8.3,142,5641.11,246.66
57,HR,Claude,2026-03,6,346.2,13.9,164,774.08,123.59
58,Marketing,Notion AI,2026-01,34,983.21,6.7,108,3442.01,250.08
59,IT,Microsoft Copilot,2026-03,44,2521.92,10.5,49,8148.83,223.12
60,Finance,Midjourney,2026-05,2,57.35,3.9,153,183.63,220.19
61,Customer Support,Midjourney,2026-04,30,1362.1,8.2,193,2397.27,76.0
62,Marketing,Claude,2026-05,44,1913.22,5.7,197,3778.74,97.51
63,Finance,Microsoft Copilot,2025-12,11,177.09,4.4,126,569.73,221.72
64,Marketing,Midjourney,2026-03,42,1718.02,11.1,103,4864.48,183.14
65,HR,Microsoft Copilot,2026-07,46,701.48,11.5,32,2643.73,276.88
66,HR,Microsoft Copilot,2026-08,35,1256.67,8.8,36,3400.96,170.63
67,R&D,Notion AI,2026-05,37,1546.43,14.3,118,4982.21,222.17
68,Operations,GitHub Copilot,2026-05,30,1661.23,11.4,126,4460.78,168.52
69,HR,GitHub Copilot,2026-07,19,939.77,8.3,165,1869.68,98.95
70,R&D,ChatGPT,2026-08,20,511.04,5.7,143,749.14,46.59
71,IT,Microsoft Copilot,2026-03,46,1006.31,4.0,111,2561.14,154.51
72,R&D,Midjourney,2025-09,15,787.2,6.5,154,3402.28,332.2
73,Sales,GitHub Copilot,2026-06,26,948.07,14.2,81,3495.03,268.65
74,Operations,Jasper AI,2026-08,49,1939.22,9.4,61,5451.45,181.12
75,Finance,Midjourney,2026-04,3,97.5,10.4,108,350.01,258.98
76,R&D,Microsoft Copilot,2026-06,36,583.69,6.5,149,1977.48,238.79
77,Marketing,Notion AI,2026-03,10,540.08,3.5,71,1323.76,145.1
78,HR,Midjourney,2026-02,23,1132.87,6.3,197,4915.49,333.9
79,Operations,Claude,2025-10,32,507.91,8.6,94,985.31,93.99
80,Marketing,GitHub Copilot,2026-07,4,195.76,14.3,56,777.06,296.95
81,IT,Microsoft Copilot,2025-11,32,1444.02,8.9,60,3948.83,173.46
82,Finance,GitHub Copilot,2026-02,12,507.18,14.5,188,800.31,57.8
83,IT,Claude,2025-10,39,630.07,5.4,178,2644.08,319.65
84,Operations,Midjourney,2026-08,14,257.88,10.7,165,516.12,100.14
85,Finance,GitHub Copilot,2026-07,40,2049.95,12.1,149,7754.34,278.27
86,Customer Support,Jasper AI,2026-03,44,1393.73,8.1,92,1730.67,24.18
87,Operations,GitHub Copilot,2026-04,8,276.07,6.1,122,975.66,253.41
88,Operations,Microsoft Copilot,2026-08,35,2045.62,4.8,142,7684.0,275.63
89,R&D,Midjourney,2026-08,39,1056.03,12.9,27,2239.27,112.05
90,R&D,Microsoft Copilot,2026-04,38,1613.67,6.3,12,4568.64,183.12
91,Customer Support,Microsoft Copilot,2026-04,15,464.51,4.6,76,1906.84,310.51
92,Finance,Jasper AI,2025-09,35,2018.2,2.2,189,5128.68,154.12
93,HR,Notion AI,2026-04,43,2022.42,7.3,9,3047.94,50.71
94,HR,Midjourney,2026-08,17,489.25,9.1,126,1480.7,202.65
95,Customer Support,Midjourney,2026-08,37,1105.77,10.8,74,2445.8,121.19
96,HR,ChatGPT,2026-08,14,408.8,11.4,200,1421.62,247.75
97,HR,Microsoft Copilot,2026-08,32,878.16,9.3,199,2574.15,193.13
98,Finance,ChatGPT,2025-12,20,504.73,3.5,8,1784.96,253.65
99,IT,Claude,2025-09,5,199.51,10.8,37,659.37,230.49
100,R&D,ChatGPT,2025-09,38,1056.22,7.7,92,1910.07,80.84
101,Sales,Claude,2026-04,9,467.96,6.6,23,1452.63,210.42
102,Sales,Microsoft Copilot,2025-11,38,2193.0,2.2,68,3488.82,59.09
103,Operations,Jasper AI,2026-06,41,1031.39,8.3,120,4329.84,319.81
104,Finance,GitHub Copilot,2026-06,29,833.52,9.7,161,3641.11,336.84
105,Marketing,GitHub Copilot,2025-12,42,1028.84,10.2,45,2048.99,99.16
106,Marketing,Microsoft Copilot,2025-09,28,987.63,9.3,79,1291.54,30.77
107,Finance,Notion AI,2026-01,46,2469.39,2.0,64,10492.21,324.89
108,HR,Midjourney,2025-10,36,904.19,3.1,73,3551.55,292.79
109,Marketing,ChatGPT,2025-11,21,877.32,12.5,78,2324.2,164.92
110,R&D,Notion AI,2026-01,46,1523.19,4.8,143,4309.9,182.95
111,Marketing,Jasper AI,2025-09,29,1393.57,9.5,11,2092.28,50.14
112,Sales,GitHub Copilot,2026-07,19,777.69,11.7,49,2140.71,175.27
113,R&D,Claude,2025-11,39,1349.98,12.4,28,3713.84,175.1
114,Operations,Claude,2026-02,44,867.11,3.3,110,3025.45,248.91
115,Finance,Notion AI,2026-03,50,1987.72,7.4,85,4040.87,103.29
116,Marketing,GitHub Copilot,2026-03,34,1772.14,1.0,143,4828.23,172.45
117,Sales,Microsoft Copilot,2026-05,25,1075.46,8.0,118,3987.77,270.8
118,HR,Claude,2026-05,10,567.45,7.1,183,1588.6,179.95
119,Sales,Notion AI,2026-06,17,797.98,5.4,8,2411.84,202.24
120,Marketing,Microsoft Copilot,2025-10,31,1786.15,10.1,44,5080.95,184.46
121,Finance,Jasper AI,2026-08,19,640.24,7.8,125,1283.24,100.43
122,IT,Midjourney,2025-12,40,1514.83,13.3,22,3198.74,111.16
123,Operations,Claude,2026-05,19,986.57,5.0,81,3910.44,296.37
124,R&D,GitHub Copilot,2025-11,30,1177.08,5.8,146,4375.77,271.75
125,Operations,Midjourney,2026-02,14,827.89,4.3,103,1631.57,97.08
126,Operations,ChatGPT,2026-02,49,1777.91,13.8,102,4398.66,147.41
127,IT,Midjourney,2025-09,10,376.03,9.3,30,1536.02,308.48
128,R&D,ChatGPT,2026-05,31,486.41,3.0,172,2140.62,340.09
129,Marketing,Midjourney,2026-01,23,990.07,6.6,25,3971.0,301.08
130,Operations,Claude,2026-07,47,2581.93,7.8,143,3404.19,31.85
131,Marketing,Microsoft Copilot,2026-07,45,2539.88,15.0,196,3805.38,49.83
132,Marketing,GitHub Copilot,2026-07,47,2550.51,7.2,182,5581.12,118.82
133,Sales,ChatGPT,2026-02,5,141.01,6.2,42,282.85,100.59
134,Operations,Jasper AI,2026-07,13,294.44,2.1,102,955.47,224.5
135,HR,Midjourney,2026-06,11,279.93,9.9,122,571.78,104.26
136,Sales,GitHub Copilot,2026-04,20,909.85,3.2,118,3929.89,331.93
137,Finance,Notion AI,2026-03,46,1207.7,12.8,55,5432.15,349.79
138,R&D,ChatGPT,2025-12,26,1059.15,9.0,184,2302.87,117.43
139,Operations,Claude,2025-09,38,2049.27,11.9,17,8617.25,320.5
